name,party,state,constituency
PROF. DR. PRASHANT GANGAWANE,Desh Janhit Party,Maharashtra,Mumbai North East - 28
PREM RAMAPATI GUPTA,Independent,Maharashtra,Mumbai North East - 28
MOHAMMED AHMED SHAIKH,Independent,Maharashtra,Mumbai North East - 28
MOHAMMAD ARMAN MOHAMMAD WASI KHAN,Rashtriya Janhit Sangharsh Party,Maharashtra,Mumbai North East - 28
VIDYA NAIK,Independent,Maharashtra,Mumbai North East - 28
BHOPINDER SINGH SAINI,Viro Ke Vir Indian Party,Maharashtra,Mumbai North East - 28
BANSODE DILIP,Independent,Maharashtra,Mumbai North East - 28
BHAWANI H. CHOUDHARY,Sardar Vallabhbhai Patel Party,Maharashtra,Mumbai North East - 28
DATTATRAY ARJUN UTEKAR,Bharatheeya Jawan Kisan Party,Maharashtra,Mumbai North East - 28
COMRADE SURENDRA SIBAG,All India Forward Bloc,Maharashtra,Mumbai North East - 28
SHAHAJI NANAI THORAT,Independent,Maharashtra,Mumbai North East - 28
SANJAY SAOJI DESHPANDE,Republican Party of India,Maharashtra,Mumbai North East - 28
SANJAY PATIL,Independent,Maharashtra,Mumbai North East - 28
AMOL GAJANAN KIRTIKAR,Shiv Sena (Uddhav Balasaheb Thackrey),Maharashtra,Mumbai North West - 27
RAVINDRA DATTARAM WAIKAR,Shiv Sena,Maharashtra,Mumbai North West - 27
PARMESHWAR ASHOK RANSHUR,Vanchit Bahujan Aaghadi,Maharashtra,Mumbai North West - 27
RAJESH RAMKISAN MALLAH,Bahujan Samaj Party,Maharashtra,Mumbai North West - 27
SAMEER MORE,Independent,Maharashtra,Mumbai North West - 27
SUNIL BHIMA CHAVAN,Independent,Maharashtra,Mumbai North West - 27
BALA VENKATESH VINAYAK NADAR,Aapki Apni Party (Peoples),Maharashtra,Mumbai North West - 27
ARORA SURINDER MOHAN,Bharat Jan Aadhar Party,Maharashtra,Mumbai North West - 27
ROHAN SATONE,Independent,Maharashtra,Mumbai North West - 27
ADV. SANJEEVKUMAR APPARAV KALKORI,Independent,Maharashtra,Mumbai North West - 27
ADV. LATA PANDURANG SHINDE,Independent,Maharashtra,Mumbai North West - 27
MANOJ SHRAVAN NAYAK,Right to Recall Party,Maharashtra,Mumbai North West - 27
HRUDA DHANANJAY SHINDE,Independent,Maharashtra,Mumbai North West - 27
BHARAT KHIMJI SHAH,Hindu Samaj Party,Maharashtra,Mumbai North West - 27
SUSHMA DAYANAND MEHTA,Independent,Maharashtra,Mumbai North West - 27
ADVOCATE KAPIL KANTILAL SONI,Independent,Maharashtra,Mumbai North West - 27
SARIKA DABRAL,India Greens Party,Maharashtra,Mumbai North West - 27
GAJANAN TUKARAM SONKAMBLE,Independent,Maharashtra,Mumbai North West - 27
ADV MITESH VARSHNEY,Bhim Sena,Maharashtra,Mumbai North West - 27
HARISHANKAR YADAV,Samaj Vikas Kranti Party,Maharashtra,Mumbai North West - 27
SANTOSH MANIK RAYBAN,Independent,Maharashtra,Mumbai North West - 27
ARVIND GANPAT SAWANT,Shiv Sena (Uddhav Balasaheb Thackrey),Maharashtra,Mumbai South - 31
YAMINI YASHWANT JADHAV,Shiv Sena,Maharashtra,Mumbai South - 31
AFZAL S. DAWOODANI,Vanchit Bahujan Aaghadi,Maharashtra,Mumbai South - 31
MOHAMMED SHUAIB BASHIR KHATEEB,Bahujan Samaj Party,Maharashtra,Mumbai South - 31
ARVIND NARAYAN SAWANT,Independent,Maharashtra,Mumbai South - 31
MOHD. NAEEM SHAIKH,Aim Political Party,Maharashtra,Mumbai South - 31
SABEEHA KHAN,Independent,Maharashtra,Mumbai South - 31
GOHIL MANISHA SHIVRAM,Independent,Maharashtra,Mumbai South - 31
SHANKAR SONAWANE,Independent,Maharashtra,Mumbai South - 31
RAHUL PHANASWADIKAR,Lokshahi Ekta Party,Maharashtra,Mumbai South - 31
SUBHASH RAMESH CHIPLUNKAR,Rashtriya Kisan Bahujan Party,Maharashtra,Mumbai South - 31
PRASHANT PRAKASH GHADGE,Independent,Maharashtra,Mumbai South - 31
MOHAMMED MAHTAB SHAIKH,Independent,Maharashtra,Mumbai South - 31
MATEEN AHMED RANGREJ,Independent,Maharashtra,Mumbai South - 31
ANIL YESHWANT DESAI,Shiv Sena (Uddhav Balasaheb Thackrey),Maharashtra,Mumbai South Central - 30
RAHUL RAMESH SHEWALE,Shiv Sena,Maharashtra,Mumbai South Central - 30
ABUL HASAN ALI HASAN KHAN,Vanchit Bahujan Aaghadi,Maharashtra,Mumbai South Central - 30
VIDHYASAGAR ALIAS SURESH BHIMRAO VIDHYAGAR,Bahujan Samaj Party,Maharashtra,Mumbai South Central - 30
AKASH LAXMAN KHARATMAL,Independent,Maharashtra,Mumbai South Central - 30
ASHWINI KUMAR PATHAK,Independent,Maharashtra,Mumbai South Central - 30
ADV. SANTOSH PUNJIRAM SANJKAR,Independent,Maharashtra,Mumbai South Central - 30
KARAM HUSSAIN KITABULLAH KHAN,Peace Party,Maharashtra,Mumbai South Central - 30
ADV. MAHENDRA TULSHIRAM BHINGARDIVE,Right to Recall Party,Maharashtra,Mumbai South Central - 30
SAEED CHOUDHARY,Social Democratic Party Of India,Maharashtra,Mumbai South Central - 30
ISHWAR VILAS TATHAWADE,Rashtriya Mahaswaraj Bhumi Party,Maharashtra,Mumbai South Central - 30
DEEPAK M. CHAUGULE,Bahujan Republican Socialist Party,Maharashtra,Mumbai South Central - 30
JAHID ALI NASIR AHMED SHAIKH,Aazad Samaj Party (Kanshi Ram),Maharashtra,Mumbai South Central - 30
DR. ARJUN MAHADEO MURUDKAR,Bharatheeya Jawan Kisan Party,Maharashtra,Mumbai South Central - 30
VIVEK YESHWANT PATIL,Independent,Maharashtra,Mumbai South Central - 30
NITIN JAIRAM GADKARI,Bharatiya Janata Party,Maharashtra,Nagpur - 10
VIKAS THAKRE,Indian National Congress,Maharashtra,Nagpur - 10
YOGIRAJ ALIAS YOGESH PATIRAM LANJEWAR,Bahujan Samaj Party,Maharashtra,Nagpur - 10
KIVINSUKA VIRENDRA SURYAVANSHI,Desh Janhit Party,Maharashtra,Nagpur - 10
ADARSH RAVISHANKAR THAKUR,Independent,Maharashtra,Nagpur - 10
ADV ULHAS SHALIKRAM DUPARE,Independent,Maharashtra,Nagpur - 10
FAHIM SHAMIM KHAN,Minorities Democratic Party,Maharashtra,Nagpur - 10
SURAJ BALRAM MISHRA,Kunbi Bahujan Sawrajya Party,Maharashtra,Nagpur - 10
TEKRAJ BELKHODE,Independent,Maharashtra,Nagpur - 10
GARUDADRI ANAND KUMAR,Akhil Bhartiya Parivar Party,Maharashtra,Nagpur - 10
DHANU WALTHARE,Independent,Maharashtra,Nagpur - 10
VIJAY MANKAR,Ambedkarite Party of India,Maharashtra,Nagpur - 10
ADV. SANTOSH RAMKRISHNA LANJEWAR,All India Forward Bloc,Maharashtra,Nagpur - 10
VISHESH VASANTA FUTANE,Bahujan Republican Socialist Party,Maharashtra,Nagpur - 10
GUNWANT HARICHANDRA SOMKUWAR,Bharatheeya Jawan Kisan Party,Maharashtra,Nagpur - 10
SHRIDHAR NARAYAN SALVE,Bhim Sena,Maharashtra,Nagpur - 10
SUNIL WANKHEDE,Rashtra Samarpan Party,Maharashtra,Nagpur - 10
DIPAK LAXMANRAO MASKE,Bahujan Maha Party,Maharashtra,Nagpur - 10
NARAYAN TUKARAM CHOUDHARI,Socialist Unity Centre Of India (COMMUNIST),Maharashtra,Nagpur - 10
SANTOSH TULSHIRAM CHAVHAN,Independent,Maharashtra,Nagpur - 10
SUSHIL PATIL,Independent,Maharashtra,Nagpur - 10
SACHIN RAMKRUSHNARAO WAGHADE,Independent,Maharashtra,Nagpur - 10
PRAFUL MANIKCHAND BHANGE,Independent,Maharashtra,Nagpur - 10
VINAYAK BHAURAO AWCHAT,Independent,Maharashtra,Nagpur - 10
BABITA RAJU AWASTHI,Independent,Maharashtra,Nagpur - 10
SAHIL BALCHAND TURKAR,Independent,Maharashtra,Nagpur - 10
CHAVAN VASANTRAO BALWANTRAO,Indian National Congress,Maharashtra,Nanded - 16
CHIKHALIKAR PRATAPRAO GOVINDRAO,Bharatiya Janata Party,Maharashtra,Nanded - 16
AVINASH VISHWANATH BHOSIKAR,Vanchit Bahujan Aaghadi,Maharashtra,Nanded - 16
PANDURANG RAMA ADGULWAR,Bahujan Samaj Party,Maharashtra,Nanded - 16
NIKHIL LAXMANRAO GARJE,Independent,Maharashtra,Nanded - 16
NAGESH SAMBHAJI GAIKWAD,Independent,Maharashtra,Nanded - 16
BHASKAR CHAMPATRAO DOIFODE,Independent,Maharashtra,Nanded - 16
SUSHILA NILKANTHRAO PAWAR,Samnak Janta Party,Maharashtra,Nanded - 16
ABDUL RAIS AHEMAD,Desh Janhit Party,Maharashtra,Nanded - 16
DEVIDAS GOVINDRAO INGLE,Independent,Maharashtra,Nanded - 16
KALPANA SANJAY GAIKWAD,Independent,Maharashtra,Nanded - 16
KAUSAR SULTANA,Indian National League,Maharashtra,Nanded - 16
SAHEBRAO BHIVA GAJBHARE,Independent,Maharashtra,Nanded - 16
JAGDISH LAXMAN POTRE,Independent,Maharashtra,Nanded - 16
GAJANAN DATTRAMJI DHUMAL,Independent,Maharashtra,Nanded - 16
LAXMAN NAGORAO PATIL,Independent,Maharashtra,Nanded - 16
MAHARUDRA KESHAV POPLAITKAR,Independent,Maharashtra,Nanded - 16
RUKMINBAI SHANKARRAO GITE,Bharatiya Praja Surajya Paksha,Maharashtra,Nanded - 16
HARI PIRAJI BOYALE,Bahujan Bharat Party,Maharashtra,Nanded - 16
RATHOD SURESH GOPINATH,Independent,Maharashtra,Nanded - 16
KADAM SURAJ DEVENDRA,Independent,Maharashtra,Nanded - 16
RAHUL SURYAKANT YANGADE,Bahujan Mukti Party,Maharashtra,Nanded - 16
DNYANESHWAR RAOSAHEB KAPATE,Independent,Maharashtra,Nanded - 16
ADV GOWAAL KAGADA PADAVI,Indian National Congress,Maharashtra,Nandurbar - 1
DR HEENA VIJAYKUMAR GAVIT,Bharatiya Janata Party,Maharashtra,Nandurbar - 1
ANANDA SUKALAL KOLI,Bahujan Samaj Party,Maharashtra,Nandurbar - 1
SUSHILKUMAR JAHANGIR PAWARA,Independent,Maharashtra,Nandurbar - 1
NIRMALA VASAVE,Peoples Party of India (Democratic),Maharashtra,Nandurbar - 1
ROHIDAS GEMAJI VALVI,Independent,Maharashtra,Nandurbar - 1
HEMANT MANSARAM KOLI,Vanchit Bahujan Aaghadi,Maharashtra,Nandurbar - 1
DEEPAKKUMAR MADHUKAR SHIRSATH,Independent,Maharashtra,Nandurbar - 1
RAVINDRA RANJIT VALVI,Bharat Adivasi Party,Maharashtra,Nandurbar - 1
JALAMSING SUTUM PAWAR,Independent,Maharashtra,Nandurbar - 1
GITANJALI SHASHIKANT KOLI,Independent,Maharashtra,Nandurbar - 1
RAJABHAU (PARAG) PRAKASH WAJE,Shiv Sena (Uddhav Balasaheb Thackrey),Maharashtra,Nashik - 21
GODSE HEMANT TUKARAM,Shiv Sena,Maharashtra,Nashik - 21
KARAN PANDHARINATH GAIKAR,Vanchit Bahujan Aaghadi,Maharashtra,Nashik - 21
SHANTIGIRIJI MAUNGIRIJI MAHARAJ,Independent,Maharashtra,Nashik - 21
ARUN MADHUKAR KALE,Bahujan Samaj Party,Maharashtra,Nashik - 21
CHANDRAKANT KESHAVRAO THAKUR,Independent,Maharashtra,Nashik - 21
AMOL SAMPATRAO KAMBLE,Rashtriya Kisan Bahujan Party,Maharashtra,Nashik - 21
DARSHANA AMOL MEDHE,Prabuddha Republican Party,Maharashtra,Nashik - 21
KANOJE PRAKASH GIRDHARI,Independent,Maharashtra,Nashik - 21
VAMAN MAHADEV SANGALE,Dharmarajya Paksha,Maharashtra,Nashik - 21
SUDHIR SHRIDHAR DESHMUKH,Independent,Maharashtra,Nashik - 21
JITENDRA NARESH BHABHE (JITENDRA BHAVE),Independent,Maharashtra,Nashik - 21
ARIF USMAN MANSURI,Independent,Maharashtra,Nashik - 21
GANESH BALASAHEB BORASTE,Independent,Maharashtra,Nashik - 21
JAYSHRI MAHENDRA PATIL,Sainik Samaj Party,Maharashtra,Nashik - 21
SIDDHESHWARANAND SARASWATI,Independent,Maharashtra,Nashik - 21
SUSHAMA ABHIJIT GORANE,Independent,Maharashtra,Nashik - 21
KANTILAL KISAN JADHAV,Ambedkarite Party of India,Maharashtra,Nashik - 21
CHANDRABHAN AABAJI PURKAR,Independent,Maharashtra,Nashik - 21
YASHWANT VALU PARDHI,Bhartiya Asmita Party,Maharashtra,Nashik - 21
KAILASH MARUTI CHAVAN,Aam Janta Party (India),Maharashtra,Nashik - 21
KAMLAKAR BALASAHEB GAIKWAD,Dalit Soshit Pichhara Varg Adhikar Dal,Maharashtra,Nashik - 21
DHANAJI ASHOK TOPALE,Independent,Maharashtra,Nashik - 21
BHAGYASHRI NITIN ADSUL,Indian Peoples Adhikar Party,Maharashtra,Nashik - 21
SOPAN NIVRUTTI SOMWANSHI,Independent,Maharashtra,Nashik - 21
ADV. ZUNJAR MHASUJI AVHAD,Bahujan Republican Socialist Party,Maharashtra,Nashik - 21
KOLAPPA HANUMANT DHOTRE,Independent,Maharashtra,Nashik - 21
TILOTTAMA SUNIL JAGTAP,Independent,Maharashtra,Nashik - 21
DEEPAK GAIKWAD,Independent,Maharashtra,Nashik - 21
SACHINRAJE DATTATREYA DEORE,Independent,Maharashtra,Nashik - 21
DEVIDAS PIRAJI SARKATE,Independent,Maharashtra,Nashik - 21
OMPRAKASH BHUPALSINH ALIAS PAVAN RAJENIMBALKAR,Shiv Sena (Uddhav Balasaheb Thackrey),Maharashtra,Osmanabad - 40
ARCHANA RANAJAGJITSINH PATIL,Nationalist Congress Party,Maharashtra,Osmanabad - 40
ANDHALKAR BHAUSAHEB RAOSAHEB,Vanchit Bahujan Aaghadi,Maharashtra,Osmanabad - 40
GOVARDHAN SUBRAO NIMBALKAR,Independent,Maharashtra,Osmanabad - 40
DNYANESHWAR NAGANATHRAO KOLI,Samata Party,Maharashtra,Osmanabad - 40
KAKASAHEB SANDIPAN KHOT,Independent,Maharashtra,Osmanabad - 40
SANJAYKUMAR BHAGWAT WAGHMARE,Bahujan Samaj Party,Maharashtra,Osmanabad - 40
KAKA FULCHAND KAMBLE,Independent,Maharashtra,Osmanabad - 40
RAM HANUMANT SHENDAGE,Independent,Maharashtra,Osmanabad - 40
UMAJI PANDURANG GAIKWAD,Independent,Maharashtra,Osmanabad - 40
GORE NETAJI NAGNATH,Desh Janhit Party,Maharashtra,Osmanabad - 40
HANUMANT LAXMAN BONDAR,Independent,Maharashtra,Osmanabad - 40
NAVNATH DASHRATH UPALEKAR,Independent,Maharashtra,Osmanabad - 40
SIDDIK IBRAHIM BAUDIWALE ALIAS GOLABHAI,All India Majlis-E-Ittehadul Muslimeen,Maharashtra,Osmanabad - 40
ARJUN (DADA) SALGAR,Independent,Maharashtra,Osmanabad - 40
ARYANRAJE KISANRAO SHINDE,Rashtriya Samaj Dal (R),Maharashtra,Osmanabad - 40
SHAIKH NAUSHAD IQBAL,Swarajya Shakti Sena,Maharashtra,Osmanabad - 40
SHAMRAO HARIBHAU PAWAR,Samnak Janta Party,Maharashtra,Osmanabad - 40
YOGIRAJ ANANTA TAMBE,Independent,Maharashtra,Osmanabad - 40
SOMNATH NANASAHEB KAMBLE,Independent,Maharashtra,Osmanabad - 40
BHORE NITIN KHANDU,Independent,Maharashtra,Osmanabad - 40
MANOHAR ANANDRAO PATIL,Independent,Maharashtra,Osmanabad - 40
NAVNATH VISHWANATH DUDHAL,Vishva Shakti Party,Maharashtra,Osmanabad - 40
NITESH SHIVAJI PAWAR,Hindrashtra Sangh,Maharashtra,Osmanabad - 40
ADV. VISHVJEET VIJAYKUMAR SHINDE,Aadarsh Sangram Party,Maharashtra,Osmanabad - 40
SHAYANI NAVANATH JADHAV,Independent,Maharashtra,Osmanabad - 40
NITIN NAGNATH GAIKWAD,Independent,Maharashtra,Osmanabad - 40
ADV. BHAUSAHEB ANIL BELURE,Independent,Maharashtra,Osmanabad - 40
VILAS BHAGWAT GHADGE,Independent,Maharashtra,Osmanabad - 40
SAMEERSINGH RAMESHCHANDRA SALVI,Independent,Maharashtra,Osmanabad - 40
RAJKUMAR SAHEBRAO PATIL,Independent,Maharashtra,Osmanabad - 40
DR. HEMANT VISHNU SAVARA,Bharatiya Janata Party,Maharashtra,Palghar - 22
BHARTI BHARAT KAMDI,Shiv Sena (Uddhav Balasaheb Thackrey),Maharashtra,Palghar - 22
RAJESH RAGHUNATH PATIL,Bahujan Vikas Aaghadi,Maharashtra,Palghar - 22
BHARAT SAMJI VANGA,Bahujan Samaj Party,Maharashtra,Palghar - 22
MEENA KISHOR BHAD,Independent,Maharashtra,Palghar - 22
VIJAYA RAJKUMAR MHATRE,Vanchit Bahujan Aaghadi,Maharashtra,Palghar - 22
MOHAN BARAKU GUHE,Bharat Adivasi Party,Maharashtra,Palghar - 22
DINKAR DATTATRAYA WADHAN,Independent,Maharashtra,Palghar - 22
AMAR KISAN KAVALE,Independent,Maharashtra,Palghar - 22
COMRADE RAHUL MEDHA,Marxist Leninist Party of India (Red Flag),Maharashtra,Palghar - 22
JADHAV SANJAY ( BANDU ) HARIBHAU,Shiv Sena (Uddhav Balasaheb Thackrey),Maharashtra,Parbhani - 17
JANKAR MAHADEV JAGANNATH,Rashtriya Samaj Paksha,Maharashtra,Parbhani - 17
PANJAB UTTAMRAO DAKH,Vanchit Bahujan Aaghadi,Maharashtra,Parbhani - 17
DR. GOVARDHAN BHIWAJI KHANDAGALE,Bahujan Bharat Party,Maharashtra,Parbhani - 17
KAMBLE SHIVAJI DEVAJI,Independent,Maharashtra,Parbhani - 17
ALAMGIR MOHAMMAD KHAN,Bahujan Samaj Party,Maharashtra,Parbhani - 17
SAMIR GANESHRAO DUDHGAONKAR,Independent,Maharashtra,Parbhani - 17
KRUSHNA TRIMBAKRAO PAWAR,Independent,Maharashtra,Parbhani - 17
KAILAS BALIRAM PAWAR (NAIK),Baliraja Party,Maharashtra,Parbhani - 17
PROF. DR. VILAS BANSIDHAR TANGADE,Independent,Maharashtra,Parbhani - 17
ARJUN DNYANOBA BHISE,Independent,Maharashtra,Parbhani - 17
COMRADE RAJAN KSHIRSAGAR,Communist Party of India,Maharashtra,Parbhani - 17
KISHORKUMAR PRAKASH SHINDE,Independent,Maharashtra,Parbhani - 17
KISHORE RADHAKISHAN DHAGE,Independent,Maharashtra,Parbhani - 17
SAYED IRSHAD ALI SAYYED LAYAKH ALI,Social Democratic Party Of India,Maharashtra,Parbhani - 17
DASHARATH PRABHKAR RATHOD,Maharashtra Vikas Aghadi,Maharashtra,Parbhani - 17
KARBHARI KUNDLIK MITHE,Independent,Maharashtra,Parbhani - 17
APPASAHEB OMKAR KADAM,Independent,Maharashtra,Parbhani - 17
SHRIRAM BANSILAL JADHAV,Jai Sewalal Bahujan Vikas Party,Maharashtra,Parbhani - 17
COMRADE GANPAT BHISE,Independent,Maharashtra,Parbhani - 17
DNYANESHWAR JAGANNATH DAHIBHATE,Independent,Maharashtra,Parbhani - 17
ANIL MANIKRAO MUDGALKAR,Independent,Maharashtra,Parbhani - 17
GOVIND BHAIYYA RAMRAO DESHMUKH,Independent,Maharashtra,Parbhani - 17
SUBHASH DATTARAV JAVLE,Independent,Maharashtra,Parbhani - 17
RAJABHAU SHESHRAO KAKDE,Independent,Maharashtra,Parbhani - 17
RAJENDRA RAMDAS ATKAL,Independent,Maharashtra,Parbhani - 17
SAYYD ABDUL SATTAR AJIJ,Independent,Maharashtra,Parbhani - 17
SHAIKH SALEEM SHAIKH IBRAHIM,All India Majlis-E-Inquilab-E-Millat,Maharashtra,Parbhani - 17
SANGEETA VYAKANTRAO GIRI,Swarajya Shakti Sena,Maharashtra,Parbhani - 17
ADV. VINOD CHHAGANRAO AMBHORE,Bahujan Mukti Party,Maharashtra,Parbhani - 17
VIJAY ANNASAHEB THOMBARE,Independent,Maharashtra,Parbhani - 17
VISHNUDAS SHIVAJI BHOSALE,Independent,Maharashtra,Parbhani - 17
MUSTAFA MAINODDIN SHAIKH,Independent,Maharashtra,Parbhani - 17
BOBADE SAKHARAM PADEGAONKAR,Independent,Maharashtra,Parbhani - 17
MURLIDHAR MOHOL,Bharatiya Janata Party,Maharashtra,Pune - 34
DHANGEKAR RAVINDRA HEMRAJ,Indian National Congress,Maharashtra,Pune - 34
VASANT (TATYA) MORE,Vanchit Bahujan Aaghadi,Maharashtra,Pune - 34
RANPISE PRASHANT DADARAM,Bahujan Samaj Party,Maharashtra,Pune - 34
CHORMALE SANDIP SOPAN,Independent,Maharashtra,Pune - 34
GORAKH NARAYAN GHODKE,Independent,Maharashtra,Pune - 34
KIRAN LAXMAN RAYKAR,Independent,Maharashtra,Pune - 34
ANIS ARASHID SUNDAKE,All India Majlis-E-Ittehadul Muslimeen,Maharashtra,Pune - 34
SACHIN DATTATRAY DHANKUDE,Independent,Maharashtra,Pune - 34
YUVRAJ CHANDRAKANT LIMBOLE,Right to Recall Party,Maharashtra,Pune - 34
DR. DEVYANI PANDIT,Independent,Maharashtra,Pune - 34
NARENDRA DNYANESHWAR PAWTEKAR,Independent,Maharashtra,Pune - 34
SAGAR SAMBHAJI PORE,Independent,Maharashtra,Pune - 34
SURESH DNYANOBA PATIL,Sainik Samaj Party,Maharashtra,Pune - 34
AMBORE MANJUNATH MARUTI,Independent,Maharashtra,Pune - 34
ASHWINI PRATIBHA KHAIRNAR,Independent,Maharashtra,Pune - 34
VIJAY VINAYAK JAGTAP,Independent,Maharashtra,Pune - 34
HEMANT BABURAV KOLEKAR ALIAS HEMANT PATIL,Apni Prajahit Party,Maharashtra,Pune - 34
NEERAJ SUNIL KAMTHAN,Hindu Samaj Party,Maharashtra,Pune - 34
MANOJ LAXMAN VETAL,Bhim Sena,Maharashtra,Pune - 34
KAMBLE MILIND,Bahujan Samaj Party (Ambedkar),Maharashtra,Pune - 34
CHANDRAKANT PARMESHWAR SAWANT,Independent,Maharashtra,Pune - 34
SHABBIR SAJJANBHAI TAMBOLI,Independent,Maharashtra,Pune - 34
SANJAY LAXMAN KENDALE,Independent,Maharashtra,Pune - 34
JOHNSON VASANT KOLHAPURE,Independent,Maharashtra,Pune - 34
ADV. YOGESH MAKANE,Independent,Maharashtra,Pune - 34
SUBROTO ROY,Ekam Sanatan Bharat Dal,Maharashtra,Pune - 34
DR. BALASAHEB ARJUN POL,Independent,Maharashtra,Pune - 34
VIJAYALAXMI SHRIKANT SINDAGI,Rashtriya Maratha Party,Maharashtra,Pune - 34
MAHESH DASHRATH MHASKE,Independent,Maharashtra,Pune - 34
YABES ALIAS AMOL SHAMUVEL TUJARE,Independent,Maharashtra,Pune - 34
VIJAY PANDURANGRAO DESHMUKH (DABADGAONKAR),Independent,Maharashtra,Pune - 34
BABA SALIM SAYYED,Independent,Maharashtra,Pune - 34
BAGBAN SALEEM ABDUL RAZZAQUE,Independent,Maharashtra,Pune - 34
ZNYOSHO VIJAYPRAKASH,Independent,Maharashtra,Pune - 34
TATKARE SUNIL DATTATREY,Nationalist Congress Party,Maharashtra,Raigad - 32
ANANT GEETE,Shiv Sena (Uddhav Balasaheb Thackrey),Maharashtra,Raigad - 32
KUMUDINI RAVINDRA CHAVAN,Vanchit Bahujan Aaghadi,Maharashtra,Raigad - 32
SHRINIVAS SATYANARAYAN MATTAPARTI,Independent,Maharashtra,Raigad - 32
AMIT SHRIPAL KAWADE,Independent,Maharashtra,Raigad - 32
ANANT BALOJI GITE,Independent,Maharashtra,Raigad - 32
NITIN JAGANNATH MAYEKAR,Independent,Maharashtra,Raigad - 32
CHAULE PANDURANG DAMODAR,Independent,Maharashtra,Raigad - 32
ANANT PADMA GITE,Independent,Maharashtra,Raigad - 32
COL PRAKASHRAO CHAVAN,Bharatheeya Jawan Kisan Party,Maharashtra,Raigad - 32
KOLI MANGESH PADMAKAR,Independent,Maharashtra,Raigad - 32
ADV AJAY UPADHYE,Independent,Maharashtra,Raigad - 32
ANJANI ASHWIN KELKAR,Independent,Maharashtra,Raigad - 32
Shyamkumar (Babalu) Daulat Barve,Indian National Congress,Maharashtra,Ramtek - 9
RAJU DEONATH PARVE,Shiv Sena,Maharashtra,Ramtek - 9
SANDIP SAHADEO MESHRAM,Bahujan Samaj Party,Maharashtra,Ramtek - 9
KISHORE UTTAMRAO GAJBHIYE,Independent,Maharashtra,Ramtek - 9
AJAY BAKARAM CHAVAN,Independent,Maharashtra,Ramtek - 9
SANVIDHAN G LOKHANDE,Baliraja Party,Maharashtra,Ramtek - 9
ROSHANI ATUL GAJBHIYE,Gondvana Gantantra Party,Maharashtra,Ramtek - 9
GOWARDHAN DEORAO KUMBHARE,Viro Ke Vir Indian Party,Maharashtra,Ramtek - 9
ARVIND SHIVAJI TANDEKAR,Independent,Maharashtra,Ramtek - 9
SANJAY VASANTRAO BORKAR,Maharashtra Vikas Aghadi,Maharashtra,Ramtek - 9
SHANKAR CHINTAMAN CHAHANDE,Vanchit Bahujan Aaghadi,Maharashtra,Ramtek - 9
ADV BHIMRAO SHENDE,Bahujan Republican Socialist Party,Maharashtra,Ramtek - 9
GAIKWAD MANJUSHA SACHIN,Akhil Bhartiya Parivar Party,Maharashtra,Ramtek - 9
ASHISH BHAURAO SARODE,Bhim Sena,Maharashtra,Ramtek - 9
PRAMOD SHRIPAT KHOBRAGADE,Ambedkarite Party of India,Maharashtra,Ramtek - 9
UMESH RAJU KHADSE,Rashtra Samarpan Party,Maharashtra,Ramtek - 9
SIDDHARTH GADIJI PATIL,Peoples Party of India (Democratic),Maharashtra,Ramtek - 9
PREMKUMAR DASHRATH GAJBHARE,Independent,Maharashtra,Ramtek - 9
RIDDHESHWAR ANANDRAO BELEY,Republican Party of India (A),Maharashtra,Ramtek - 9
BHOJRAJ TUKARAM SARODE,Jay Vidarbha Party,Maharashtra,Ramtek - 9
VILAS SHRIPAT KHADSE,Independent,Maharashtra,Ramtek - 9
SUBHASH LOKHANDE,Independent,Maharashtra,Ramtek - 9
KARTIK GENDLALJI DOKE,Independent,Maharashtra,Ramtek - 9
ADV ULHAS SHALIKRAM DUPARE,Independent,Maharashtra,Ramtek - 9
LAROKAR SURESH PUNDLIK,Independent,Maharashtra,Ramtek - 9
SUNIL UTTAMRAO SALVE,Independent,Maharashtra,Ramtek - 9
GOWARDHAN NAMDEO SOMDEVE,Independent,Maharashtra,Ramtek - 9
VILAS GANESH ZODAPE,Independent,Maharashtra,Ramtek - 9
NARAYAN TATU RANE,Bharatiya Janata Party,Maharashtra,Ratnagiri- Sindhudurg - 46
VINAYAK BHAURAO RAUT,Shiv Sena (Uddhav Balasaheb Thackrey),Maharashtra,Ratnagiri- Sindhudurg - 46
VINAYAK LAVU RAUT,Independent,Maharashtra,Ratnagiri- Sindhudurg - 46
MARUTI RAMACHANDRA JOSHI,Vanchit Bahujan Aaghadi,Maharashtra,Ratnagiri- Sindhudurg - 46
AAYARE RAJENDRA LAHU,Bahujan Samaj Party,Maharashtra,Ratnagiri- Sindhudurg - 46
SHAKIL SAWANT,Independent,Maharashtra,Ratnagiri- Sindhudurg - 46
TAMBADE AMRUT ANANT (RAJAPURKAR),Independent,Maharashtra,Ratnagiri- Sindhudurg - 46
ASHOK GANGARAM PAWAR,Bahujan Mukti Party,Maharashtra,Ratnagiri- Sindhudurg - 46
SURESH GOVINDRAO SHINDE,Sainik Samaj Party,Maharashtra,Ratnagiri- Sindhudurg - 46
KHADSE RAKSHA NIKHIL,Bharatiya Janata Party,Maharashtra,Raver - 4
SHRIRAM DAYARAM PATIL,Nationalist Congress Party  Sharadchandra Pawar,Maharashtra,Raver - 4
